Heure,Latitude,Longitude
11h26min5sec,47.679954,-0.874250
11h26min39sec,47.680249,-0.874200
11h27min12sec,47.680550,-0.874217
11h27min46sec,47.679901,-0.873950
11h28min20sec,47.679968,-0.873417
11h28min54sec,47.680149,-0.873033
11h29min29sec,47.680516,-0.872950
11h30min3sec,47.680817,-0.872850
11h30min37sec,47.681003,-0.872833
11h31min7sec,47.680984,-0.873250
11h31min42sec,47.680883,-0.873717
11h32min15sec,47.680769,-0.874133
11h32min50sec,47.680783,-0.874483
11h33min24sec,47.680583,-0.874750
11h33min58sec,47.680383,-0.874783
11h34min31sec,47.680249,-0.874850
11h35min6sec,47.680283,-0.874650
11h35min40sec,47.680316,-0.874300
