Heure,Latitude,Longitude,Vitesse
15h05min35sec,47.685885,-0.873885,0
15h05min42sec,47.685877,-0.873893,1
15h05min49sec,47.685884,-0.873853,7
15h06min03sec,47.685947,-0.874034,11
15h06min07sec,47.685775,-0.874034,4
15h06min14sec,47.685766,-0.874029,18
15h06min21sec,47.685704,-0.873770,20
15h06min28sec,47.685815,-0.873345,27
15h06min34sec,47.686020,-0.872833,18
15h06min46sec,47.686080,-0.871895,23
15h06min53sec,47.686099,-0.871181,6
15h07min00sec,47.686040,-0.870841,25
15h07min07sec,47.685669,-0.870870,19
15h07min21sec,47.684905,-0.870926,24
15h07min28sec,47.684437,-0.870764,27
15h07min35sec,47.683922,-0.870520,36
15h07min42sec,47.683346,-0.870259,34
15h07min49sec,47.682767,-0.870161,45
15h07min56sec,47.682140,-0.870723,46
15h08min03sec,47.681639,-0.871644,43
15h08min17sec,47.681099,-0.873682,38
15h08min23sec,47.680940,-0.874260,36
15h08min29sec,47.680758,-0.874901,34
15h08min36sec,47.680526,-0.875789,37
15h08min43sec,47.680334,-0.876531,49
15h08min50sec,47.680019,-0.877655,41
15h08min57sec,47.679698,-0.878714,17
15h09min11sec,47.679228,-0.878980,15
15h09min18sec,47.678874,-0.878744,24
15h09min25sec,47.678763,-0.878487,6
15h09min32sec,47.678810,-0.878340,7
15h09min39sec,47.678883,-0.878114,20
15h09min46sec,47.679163,-0.878232,15
15h09min53sec,47.679468,-0.878245,8
15h10min00sec,47.679607,-0.878393,0
15h10min07sec,47.679610,-0.878396,0
15h10min21sec,47.679608,-0.878390,0
15h10min28sec,47.679595,-0.878391,0
15h10min35sec,47.679566,-0.878386,0
15h10min42sec,47.679544,-0.878390,0
15h10min49sec,47.679519,-0.878398,0
15h10min56sec,47.679506,-0.878406,0
15h11min03sec,47.679514,-0.878423,0
15h11min10sec,47.679527,-0.878430,0
15h11min17sec,47.679526,-0.878436,0
15h11min31sec,47.679484,-0.878457,0
15h11min38sec,47.679489,-0.878464,0
15h11min44sec,47.679505,-0.878462,0
15h11min50sec,47.679554,-0.878448,1
15h11min56sec,47.679572,-0.878439,5
15h12min02sec,47.679618,-0.878476,6
15h12min08sec,47.679607,-0.878621,0
15h12min14sec,47.679608,-0.878628,0
15h12min20sec,47.679609,-0.878625,0
15h12min34sec,47.679597,-0.878641,0
15h12min40sec,47.679591,-0.878645,0
15h12min47sec,47.679589,-0.878648,9
15h12min54sec,47.679527,-0.878717,13
15h13min00sec,47.679400,-0.878772,12
15h13min06sec,47.679445,-0.879040,0
15h13min12sec,47.679468,-0.879054,0
15h13min18sec,47.679478,-0.879065,2
15h13min25sec,47.679523,-0.879079,15
15h13min39sec,47.679398,-0.879948,35
15h13min46sec,47.679343,-0.880693,26
15h13min52sec,47.679680,-0.880436,43
15h13min58sec,47.680123,-0.879818,45
15h14min04sec,47.680683,-0.879243,43
15h14min10sec,47.681210,-0.878692,40
15h14min16sec,47.681730,-0.878174,38
15h14min22sec,47.682209,-0.877691,24
15h14min28sec,47.682561,-0.877314,17
15h14min34sec,47.682737,-0.877453,38
15h14min46sec,47.683143,-0.878957,42
15h14min52sec,47.683541,-0.879745,44
15h14min58sec,47.683960,-0.880542,45
15h15min04sec,47.684401,-0.881357,47
15h15min10sec,47.684858,-0.882205,49
15h15min16sec,47.685304,-0.883073,48
15h15min22sec,47.685744,-0.883886,44
15h15min28sec,47.685951,-0.884632,33
15h15min34sec,47.686332,-0.885116,38
15h15min40sec,47.686716,-0.885833,42
15h15min46sec,47.687129,-0.886631,45
15h15min52sec,47.687531,-0.887425,46
15h15min58sec,47.687982,-0.888288,50
15h16min04sec,47.688446,-0.889180,50
15h16min10sec,47.688876,-0.890005,45
15h16min16sec,47.689270,-0.890751,40
15h16min22sec,47.689566,-0.891409,35
15h16min28sec,47.689949,-0.892063,40
15h16min34sec,47.690373,-0.892752,42
15h16min40sec,47.690988,-0.893038,43
15h16min46sec,47.691633,-0.893239,44
15h16min52sec,47.692191,-0.893221,35
15h16min58sec,47.692590,-0.893528,33
15h17min04sec,47.693016,-0.893937,39
15h17min10sec,47.693525,-0.893925,31
15h17min16sec,47.693697,-0.894367,28
15h17min22sec,47.693281,-0.894684,35
15h17min28sec,47.692926,-0.895659,55
15h17min34sec,47.692759,-0.897229,96
15h17min40sec,47.693013,-0.899226,116
15h17min46sec,47.693699,-0.901458,125
15h17min52sec,47.694411,-0.903934,132
15h17min58sec,47.695027,-0.906674,133
15h18min04sec,47.695552,-0.909527,132
15h18min10sec,47.696061,-0.912374,131
15h18min22sec,47.697079,-0.918007,131
15h18min28sec,47.697581,-0.920815,130
15h18min34sec,47.698068,-0.923622,132
15h18min40sec,47.698551,-0.926478,133
15h18min46sec,47.699161,-0.929303,129
15h18min52sec,47.699745,-0.932063,129
15h18min58sec,47.700277,-0.934825,118
15h19min04sec,47.700782,-0.937437,103
15h19min10sec,47.701231,-0.939745,77
15h19min22sec,47.701897,-0.942687,44
15h19min28sec,47.702525,-0.943386,61
15h19min34sec,47.703555,-0.944270,105
15h19min40sec,47.704727,-0.945675,118
15h19min46sec,47.705862,-0.947630,126
15h19min52sec,47.706769,-0.950030,129
15h19min58sec,47.707343,-0.952751,129
15h20min04sec,47.707699,-0.955578,130
15h20min10sec,47.708059,-0.958429,130
15h20min22sec,47.708777,-0.964106,129
15h20min28sec,47.709131,-0.966912,128
15h20min34sec,47.709244,-0.969666,106
15h20min40sec,47.708890,-0.972059,78
15h20min46sec,47.708492,-0.973973,29
15h20min52sec,47.708434,-0.974924,21
15h20min58sec,47.708485,-0.975390,24
15h21min04sec,47.708243,-0.975224,37
15h21min10sec,47.708040,-0.974523,35
15h21min22sec,47.707385,-0.973593,21
15h21min28sec,47.707392,-0.973440,2
