Heure,Latitude,Longitude
18h46min2sec,47.717452,-0.965167
18h46min15sec,47.717285,-0.965283
18h46min29sec,47.715816,-0.966017
18h46min41sec,47.714748,-0.966933
18h46min56sec,47.713485,-0.967983
18h47min9sec,47.711368,-0.968800
18h47min24sec,47.709584,-0.970117
18h47min38sec,47.708831,-0.973650
18h47min52sec,47.708383,-0.975800
18h48min4sec,47.708850,-0.978617
18h48min18sec,47.709465,-0.981700
18h48min31sec,47.710032,-0.984583
18h48min43sec,47.710605,-0.987467
18h48min56sec,47.711387,-0.987800
18h49min9sec,47.712750,-0.987567
18h49min22sec,47.713652,-0.987500
18h49min36sec,47.714953,-0.987600
18h49min49sec,47.716417,-0.987483
18h50min2sec,47.717414,-0.987100
18h50min15sec,47.719131,-0.986100
18h50min29sec,47.720551,-0.985067
18h50min43sec,47.722468,-0.985400
18h50min58sec,47.723069,-0.985117
18h51min11sec,47.724700,-0.984533
18h51min25sec,47.726483,-0.983250
18h51min38sec,47.728601,-0.982567
18h51min52sec,47.730970,-0.980617
18h52min6sec,47.733569,-0.978333
18h52min20sec,47.735052,-0.975183
18h52min34sec,47.737002,-0.973600
18h52min47sec,47.739234,-0.971650
18h53min2sec,47.740932,-0.969500
18h53min15sec,47.741666,-0.968250
18h53min29sec,47.741952,-0.967050
18h53min43sec,47.740951,-0.965783
18h53min56sec,47.739100,-0.964483
18h54min9sec,47.738318,-0.965450
18h54min22sec,47.736831,-0.966533
18h54min36sec,47.735333,-0.964567
18h54min50sec,47.733002,-0.963683
18h55min2sec,47.730718,-0.964033
18h55min16sec,47.728834,-0.962617
18h55min29sec,47.727432,-0.962800
18h55min43sec,47.724619,-0.964517
18h55min58sec,47.722135,-0.964933
18h56min11sec,47.720137,-0.964667
18h56min24sec,47.718849,-0.964833
18h56min36sec,47.717733,-0.965183
